Customer Name,Address,City,State,Zip,Premise,TDLinx Code,Sold to,Licence No.,Channel / Trad Channel,Sub-Channel / Sub Trade Channel,IN SPECTRA,IN GALLO,IN WW
COSTCO WHOLESALE      133,1300 DANA DR,REDDING,CA,96003,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      125,1006 W WABASH AVE,EUREKA,CA,95501,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      741,1540 FROOM RANCH WAY,SAN LUIS OBISPO,CA,93405,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE     1011,2100 DR MLK JR PKWY,CHICO,CA,95928,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      149,220 SYLVANIA AVE,SANTA CRUZ,CA,95060,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      429,33961 DOHENY PARK RD,SAN JUAN CAPISTRANO,CA,92675,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE       29,6750 STANFORD RANCH RD,ROSEVILLE,CA,95678,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      462,951 PALOMAR AIRPORT RD,CARLSBAD,CA,92011,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      141,300 VINTAGE WAY,NOVATO,CA,94945,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      117,5700 LINDERO CANYON RD,WESTLAKE VILLAGE,CA,91362,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      403,101 TOWN CENTER PKWY,SANTEE,CA,92071,Off-Premise,,364559,,,,False,False,True
SAMS CLUB     6621,904 PLEASANT GROVE BLVD,ROSEVILLE,CA,95678,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      771,7000 AUBURN BLVD,CITRUS HEIGHTS,CA,95621,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      659,5901 REDWOOD DR,ROHNERT PARK,CA,94928,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      401,4605 MORENA BLVD,SAN DIEGO,CA,92117,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE     1297,1275 AIRPORT PARK BLVD,UKIAH,CA,95482,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      765,1800 CAVITT DR,FOLSOM,CA,95630,Off-Premise,,364559,,,,False,False,True
SAMS CLUB     4799,7147 GREENBACK LN,CITRUS HEIGHTS,CA,95621,Off-Premise,,364559,,,,False,False,True
SAMS CLUB     6620,2495 IRON POINT RD STE 11,FOLSOM,CA,95630,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE       41,1900 SANTA ROSA AVE,SANTA ROSA,CA,95407,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE       28,27972 CABOT RD,LAGUNA NIGUEL,CA,92677,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      690,27220 HEATHER RIDGE RD,LAGUNA NIGUEL,CA,92677,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      128,2660 PARK CENTER DR,SIMI VALLEY,CA,93065,Off-Premise,,364559,,,,False,False,True
COSTCO BUSINESS CENTER      893,3360 EL CAMINO AVE,SACRAMENTO,CA,95821,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      775,12155 TECH CENTER DR,POWAY,CA,92064,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      469,8125 FLETCHER PKWY,LA MESA,CA,91942,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      479,13463 WASHINGTON BLVD,MARINA DEL REY,CA,90292,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      474,7095 MARKET PLACE DR,GOLETA,CA,93117,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE       21,3150 FOSTORIA WAY,DANVILLE,CA,94526,Off-Premise,,364559,,,,False,False,True
SAMS CLUB     4704,7663 N BLACKSTONE AVE,FRESNO,CA,93720,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      452,12350 CARMEL MOUNTAIN RD,SAN DIEGO,CA,92128,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      441,72800 DINAH SHORE DR,PALM DESERT,CA,92211,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      445,22633 SAVI RANCH PKWY,YORBA LINDA,CA,92887,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      438,11260 WHITE ROCK RD,RANCHO CORDOVA,CA,95742,Off-Premise,,364559,,,,False,False,True
