Flagged Accounts,Customer Name,TDLinx Code,Address,City,State,Zip,Premise,Channel,Sub-Channel,Owner,Banner
FALSE,Disneyland Hotel,5218146,1150 W Magic Way,Anaheim,CA,92802,On-Premise,Lodging,Resort/Convention,Walt Disney Company,Disney
FALSE,Special Event,7838194,1000 S Prairie Ave,Inglewood,CA,90301,On-Premise,Other On-Premise,Special Events,Independent,No Group Assignment
FALSE,Levy Staples Center,5241427,1111 S Figueroa St,Los Angeles,CA,90015,On-Premise,Caterer,Food Service,Compass Group,Levy
FALSE,O Sullivans Sports Bar,5237708,5660 Thornton Ave,Newark,CA,94560,On-Premise,Bar/Nightclub,Sports Bar,Independent,No Group Assignment
FALSE,Thunder Valley Casino Resort,1771160,1200 Athens Ave,Lincoln,CA,95648,On-Premise,Recreation,Casino/Gambling,Independent,No Group Assignment
FALSE,The Bungalow,5218431,101 Wilshire Blvd,Santa Monica,CA,90401,On-Premise,Lodging,Luxury Lodging,AccorHotels North America,No Group Assignment
FALSE,Bon Appetit at Chase Center,7690012,300 16th St,San Francisco,CA,94158,On-Premise,Caterer,Catering,Compass Group,Bon Appetit
FALSE,The Barn,7822219,1500 W Campus Dr,Riverside,CA,92507,On-Premise,Dining,Casual Dining,Independent,No Group Assignment
FALSE,The Pendry Hotel,7514858,550 J St,San Diego,CA,92101,On-Premise,Lodging,Luxury Lodging,Preferred Hotels & Resorts,No Group Assignment
FALSE,The Abbey,5247637,692 N Robertson Blvd,West Hollywood,CA,90069,On-Premise,Bar/Nightclub,Premium Bar,Independent,No Group Assignment
FALSE,The Forum,7619325,3900 W Manchester Blvd,Inglewood,CA,90305,On-Premise,Recreation,Stadium/Arena/Convention,Independent,No Group Assignment
FALSE,The Farmacy,122835,907 10th St,Modesto,CA,95354,On-Premise,Dining,Casual Dining,Independent,No Group Assignment
FALSE,Hotel Del Coronado,5220103,1500 Orange Ave,Coronado,CA,92118,On-Premise,Lodging,Resort/Convention,Hilton Worldwide,No Group Assignment
