,year,newchannelid,sold_to,sold_to_name,addrl1,city,zip,mat_class,slsid,slsname,revenue,License No.
90117,2022,IR,300555,17TH & NOE MARKET,3900 17TH ST,SAN FRANCISCO,94114,Total,JR7,House-Jr7,16427.78,209197
90118,2022,IR,300569,1-STOP STORE,4770 OCEANSIDE BLVD,OCEANSIDE,92056,Total,BR3,Jeffrey Bowler,12864.43,329722
90119,2022,IR,300596,29 PALMS LIQUOR (DE),73-777 29PALMS HWY,TWENTYNINE PALMS,92277,Total,BR5,Jose Arciga,27779.26,569337
90120,2022,IR,300711,99 RANCH MARKET,140 W VALLEY BLVD,SAN GABRIEL,91776,Total,BQA,Derrek Wilkinson,1428,558640
90121,2022,IR,300712,99 RANCH MARKET #7,1300 S GOLDEN WEST AVE,ARCADIA,91007,Total,BQA,Derrek Wilkinson,840,270825
90122,2022,IR,300713,99 RANCH MARKET,1625 AZUSA AVE,HACIENDA HEIGHTS,91745,Total,BQA,Derrek Wilkinson,840,339956
90123,2022,IR,300717,99 RANCH MARKET,338 BARBER LANE,MILPITAS,95035,Total,JS6,Rhiannon Carroll,349.6,318006
90124,2022,IR,300719,99 RANCH MARKET,3288 PIERCE ST #500,RICHMOND,94804,Total,JS6,Rhiannon Carroll,463.6,338836
90125,2022,IR,300721,99 RANCH MARKET,1688 HOSTETTER RD #E,SAN JOSE,95131,Total,JS6,Rhiannon Carroll,386.6,258981
90126,2022,IR,300724,99 RANCH MARKET #9,15333 CULVER DR #800,IRVINE,92604,Total,BQA,Derrek Wilkinson,1476.8,275321
90127,2022,IR,300725,99 RANCH MARKET,1015 S NOGALES ST,ROWLAND HEIGHTS,91748,Total,BQA,Derrek Wilkinson,503,226167
90128,2022,IR,300739,A1 MARKET,1420 ENCINAL AVE,ALAMEDA,94501,Total,JS4,April Lopez,37174.56,473936
90129,2022,IR,300770,USAAES EXCHANGE POM SHOPPETTE,4220 GENERAL JIM MOORE B,SEASIDE,93944,Total,JT6,Tyler Salmonsen,18728.93,
90130,2022,IR,300784,ABBOTT STREET MARKET,2074 ABBOTT ST,SAN DIEGO,92107,Total,BR9,Rosana Hin,1439.16,554385
90131,2022,IR,300787,ABC DISCOUNT LIQUOR,3950 E OCEAN BLVD,LONG BEACH,90803,Total,BQ3,Dan Cote,13995.4,242940
