,year,newchannelid,sold_to,sold_to_name,addrl1,city,zip,mat_class,slsid,slsname,revenue,License No.
93279,2022,OP,300468,PACINI WINES,3001 SO. STATE #34,UKIAH,95482,Total,700,Pacini Wines,409563.09,538267
93280,2022,OP,300580,21ST AMENDMENT,563 SECOND ST,SAN FRANCISCO,94107,Total,384,Samuel Titus,9711.55,603608
93281,2022,OP,300581,21 OCEANFRONT,2100 W OCEANFRONT,NEWPORT BEACH,92663,Total,312,Marissa Oudt,41516.04,374647
93282,2022,OP,300583,22ND ST BAR & GRILL,141 W 22ND ST SP A,SAN PEDRO,90731,Total,354,Brandon Colson,14580.76,245485
93283,2022,OP,300584,230 FOREST AVENUE REST,230 FOREST AVE,LAGUNA BEACH,92651,Total,31W,Alexandra Hall,35172.03,306995
93284,2022,OP,300606,35 ER,12 E COLORADO BLVD,PASADENA,91105,Total,30P,Rebecca Monroy,16077.39,232376
93285,2022,OP,300613,4100 BAR,1087 MANZANITA ST,LOS ANGELES,90029,Total,34V,Mark Simmons,3697.73,390605
93286,2022,OP,300630,555 EAST #210,555 EAST OCEAN,LONG BEACH,90802,Total,366,Nicholas Sanchez {},83663.68,455562
93287,2022,OP,300694,SUNNY SPOT,822 W WASHINGTON BL,VENICE,90292,Total,369,Stephen Sylvester,7569.75,413914
93288,2022,OP,300698,CIGAR BAR + +,850 MONTGOMERY ST,SAN FRANCISCO,94133,Total,616,Russ Natalie,2676.62,415814
93289,2022,OP,300702,900 GRAYSON,900 GRAYSON ST,BERKELEY,94710,Total,618,Mackenzie Monroe,6297.4,433417
93290,2022,OP,300732,APPLEBEE'S #0004,9241 MONTE VISTA AVE,MONTCLAIR,91763,Total,SNA,South Natl Accounts,1999.56,550886
93291,2022,OP,300734,APPLEBEE'S #9595,555 SARATOGA AVE,SAN JOSE,95129,Total,NNA,North Natl Accounts,2145.72,602043
93292,2022,OP,300735,A16,2355 CHESTNUT ST,SAN FRANCISCO,94123,Total,JE9,House-Je9,3428.8,406313
93293,2022,OP,300735,A16 344166,2355 CHESTNUT ST,SAN FRANCISCO,94123,Total,JE9,House-Je9,4776.77,406313
93294,2022,OP,300740,APPLEBEE #5701,107 FLETCHER PARKWAY,EL CAJON,92020,Total,SNA,South Natl Accounts,3948.84,466447
93295,2022,OP,300741,APPLEBEE #5702,9480 E. MIRA MESA BLVD,SAN DIEGO,92126,Total,SNA,South Natl Accounts,4123.2,466462
93296,2022,OP,300744,APPLEBEE #5721,4070 HIGHLAND AVE,SAN BERNARDINO,92404,Total,SNA,South Natl Accounts,2110.8,466464
93297,2022,OP,300745,APPLEBEE #5707,2046 W. REDLANDS BLVD.,REDLANDS,92373,Total,SNA,South Natl Accounts,1738.8,466458
93298,2022,OP,300746,APPLEBEE #5708,3820 MULBERRY ST,RIVERSIDE,92501,Total,SNA,South Natl Accounts,1898.4,466448
93299,2022,OP,300747,APPLEBEE`S,521 N. MCKINLEY BLVD.,CORONA,92879,Total,SNA,South Natl Accounts,2434.44,466455
93300,2022,OP,300748,APPLEBEE,7677 BALBOA AVE,SAN DIEGO,92111,Total,SNA,South Natl Accounts,3103.68,466457
93301,2022,OP,300749,APPLEBEE #5711,1216 AUTO PARKWAY,ESCONDIDO,92029,Total,SNA,South Natl Accounts,6051.48,466456
93302,2022,OP,300750,APPLEBEE #5712,2508 JAMACHA RD,EL CAJON,92019,Total,SNA,South Natl Accounts,3179.64,466454
93303,2022,OP,300751,APPLEBEE #5713 +,3956 GRAND AVE,CHINO,91710,Total,SNA,South Natl Accounts,1431.96,466453
93304,2022,OP,300752,APPLEBEE #5714,3030 PLAZA BONITA ROAD,NATIONAL CITY,91950,Total,SNA,South Natl Accounts,1717.56,466444
93305,2022,OP,300753,APPLEBEES,10709 FOOTHILL BLVD,RANCHO CUCAMONGA,91730,Total,SNA,South Natl Accounts,2478.96,466449
93306,2022,OP,300754,APPLEBEE #5801,2146 VISTA WAY,OCEANSIDE,92054,Total,SNA,South Natl Accounts,3637.44,466463
93307,2022,OP,300761,APPLEBEE #9288 (FMI),32400 DATE PALM DR,CATHEDRAL CITY,92234,Total,SNA,South Natl Accounts,2596.32,346448
93308,2022,OP,300762,APPLEBEE'S #9289,9000 MING AVE STE M,BAKERSFIELD,93311,Total,NNA,North Natl Accounts,2004.96,542466
93309,2022,OP,300765,APPLEBEE'S #9764,21625 VALLEY BLVD,WALNUT,91789,Total,SNA,South Natl Accounts,4701.48,550840
93310,2022,OP,300780,ABALONETTI RESTAURANT,57 FISHERMAN'S WHARF,MONTEREY,93940,Total,383,Michael Espiritu,9445.39,454973
93311,2022,OP,300795,APPLEBEE'S,674 ARROW HIGHWAY,SAN DIMAS,91733,Total,SNA,South Natl Accounts,6258.36,550839
93312,2022,OP,300841,ACME BAR,2115 SAN PABLO AVE,BERKELEY,94702,Total,704,Majid Dayyat,25030.09,556487
93313,2022,OP,300844,A COTE,5478 COLLEGE AVE,OAKLAND,94618,Total,600,Heather Mills $,20067.01,368265
93314,2022,OP,300846,ACQUERELLO RESTAURANT,1722 SACRAMENTO ST,SAN FRANCISCO,94109,Total,384,Samuel Titus,10449.08,235400
